s_no,route_long_name,stop_id
0,193STLDOWN,0
1,193STLDOWN,1
2,193STLDOWN,2
3,193STLDOWN,3
4,193STLDOWN,4
5,193STLDOWN,5
6,193STLDOWN,6
7,193STLDOWN,7
8,193STLDOWN,8
9,193STLDOWN,9
10,193STLDOWN,10
11,193STLDOWN,11
12,193STLDOWN,12
13,193STLDOWN,13
14,193STLDOWN,14
15,193STLDOWN,15
16,193STLDOWN,16
17,193STLDOWN,17
18,193STLDOWN,18
19,193STLDOWN,19
20,193STLDOWN,20
21,193STLDOWN,21
22,193STLDOWN,22
23,783AUP,884
24,783AUP,885
25,783AUP,886
26,783AUP,887
27,783AUP,888
28,783AUP,1726
29,783AUP,890
30,783AUP,891
31,783AUP,2460
32,783AUP,892
33,783AUP,893
34,783AUP,894
35,783AUP,1474
36,783AUP,1475
37,783AUP,1476
38,783AUP,1477
39,783AUP,1478
40,783AUP,1479
41,783AUP,900
42,783AUP,901
43,783AUP,902
44,783AUP,903
45,783AUP,634
46,783AUP,905
47,783AUP,906
48,783AUP,907
49,783AUP,2462
50,783AUP,909
51,783AUP,910
52,783AUP,911
53,783AUP,651
54,783AUP,652
55,783AUP,653
56,783AUP,654
57,783AUP,655
58,783AUP,656
59,783AUP,657
60,783AUP,658
61,783AUP,659
62,783AUP,660
63,783AUP,488
64,783AUP,233
65,783AUP,2031
66,783AUP,379
67,783AUP,380
68,219STLDOWN,1343
69,219STLDOWN,1344
70,219STLDOWN,1345
71,219STLDOWN,1901
72,219STLDOWN,1347
73,219STLDOWN,1348
74,219STLDOWN,1349
75,219STLDOWN,1350
76,219STLDOWN,1423
77,219STLDOWN,1424
78,219STLDOWN,1373
79,219STLDOWN,1374
80,219STLDOWN,1375
81,219STLDOWN,1376
82,219STLDOWN,1377
83,219STLDOWN,1378
84,219STLDOWN,1425
85,219STLDOWN,1426
86,219STLDOWN,1427
87,219STLDOWN,1428
88,219STLDOWN,1429
89,219STLDOWN,1430
90,219STLDOWN,1431
91,219STLDOWN,1432
92,219STLDOWN,1433
93,219STLDOWN,1434
94,219STLDOWN,2277
95,219STLDOWN,2278
96,219STLDOWN,2279
97,219STLDOWN,2280
98,219STLDOWN,2281
99,219STLDOWN,2282
100,219STLDOWN,2283
101,219STLDOWN,2284
102,219STLDOWN,2285
103,219STLDOWN,2286
104,219STLDOWN,2287
105,219STLDOWN,2288
106,219STLDOWN,2289
107,219STLDOWN,2290
108,219STLDOWN,2291
109,219STLDOWN,2292
110,219STLDOWN,46
111,219STLDOWN,47
112,219STLDOWN,48
113,219STLDOWN,108
114,219STLDOWN,109
115,219STLDOWN,110
116,219STLDOWN,2906
117,905STLUP,1139
118,905STLUP,1140
119,905STLUP,1141
120,905STLUP,1142
121,905STLUP,1143
122,905STLUP,1144
123,905STLUP,21
124,905STLUP,1145
125,905STLUP,1146
126,905STLUP,1147
127,905STLUP,1148
128,905STLUP,1149
129,905STLUP,1150
130,905STLUP,1151
131,905STLUP,1152
132,905STLUP,1153
133,905STLUP,1154
134,905STLUP,1155
135,905STLUP,1156
136,905STLUP,1157
137,905STLUP,1158
138,905STLUP,2069
139,905STLUP,1985
140,905STLUP,2756
141,905STLUP,2757
142,905STLUP,2752
