stop_id,stop_code,stop_name,stop_lat,stop_lon
0,DC4539,Narela Terminal,28.852004,77.088059
1,DC4540,Police Station Narela,28.853366,77.088535
2,DC4541,Safiyabad Crossing,28.855266,77.08973
3,DC4542,Ramdev Chowk Pithori Jhori,28.857752,77.092856
4,DC4543,Narela A-6 / CPJ College,28.857652,77.095746
5,DC4544,State Bank Of Allahbad,28.857128,77.097951
6,DC4545,Sec A-9 Narela,28.854546,77.097907
7,DC4546,Sec A-9 and A-6 Narela,28.851771,77.097849
8,DC4547,A-7 Narela Sec- 10A Pocket- 66,28.849048,77.098446
9,DC4548,Harish Chandra Hospital,28.840806,77.102022
10,DC4549,Kasturi Ram School,28.837182,77.098223
11,DC4550,Munim Ji Ka Bagh,28.836163,77.092108
12,DC4551,New Anaj Mandi,28.838335,77.091413
13,DC4552,Kurani More,28.840835,77.090527
14,DC4893,Prem Nagar Narela,28.837755,77.081097
15,DC4554,Maharaja Agrassen School,28.835906,77.079333
16,DC4555,Bharat Mata School,28.833074,77.076871
17,DC4556,Kaushal Devi Netraheen Ashram,28.825201,77.070198
18,DC5264,Sannoth Crossing / Ghoga Crossing,28.819549,77.06355
19,DC4558,Delhi Jal Board Bawana,28.815305,77.057968
20,DC4559,Jain Bekhunth Mandir,28.811877,77.054111
21,DC4560,JJ Colony Bawana Crpf Camp,28.806836,77.04801
22,DC5263,Bawana Sec 1 Cluster Depot,28.794721,77.041829
23,DC3605,Swaroop Nagar GT Road,28.758318,77.148305
24,DC3606,Libas Pur GT Road,28.750112,77.150774
25,U01532,Sanjay Gandhi Transport Nagar,28.7402,77.154
26,DC3607,Mukarba Chowk,28.735084,77.155874
27,U01588,GTK Depot,28.731117,77.158967
28,U99882A,Jahangirpuri GT Road (Metro Station),28.7257,77.163
29,DC3655,Mahindra Park,28.721715,77.166162
30,U01698,Sarai Pipal Thala,28.7206,77.1671
31,U01747,Adarsh Nagar Metro Station,28.717467,77.169917
32,U01781,New Sabzi Mandi,28.714415,77.172422
33,U01867,Azadpur,28.7063,77.1795
34,U01929,Bara Bagh,28.7017,77.1831
35,U01969,Gujranwala Town,28.6995,77.1849
36,U02004,Telephone Exchange,28.6971,77.1869
37,U02033,State Bank Colony,28.6954,77.1883
38,U02088,Gurudwara Nanak Pyau,28.691,77.192
39,U02112,Rana Pratap Bagh,28.6882666666667,77.1937
40,U02138,Gur Mandi,28.6848,77.1963
41,U02180,Roop Nagar / Shakti Nagar (GT Road),28.682832,77.197614
42,DC0027,Clock Tower,28.677617,77.201567
43,U02242,Roshnara Bagh,28.6733,77.2018
44,U02274,Roshnara Road,28.669249,77.20455
45,U02387,Ice Factory (Roshanara Road),28.66745,77.20765
46,DC0028,St Stephen Hospital,28.6674,77.2143
47,U02512,Tees Hazari Court,28.6668,77.2188
48,U02690,ISBT Nityanand Marg,28.668342,77.225091
49,DC3575,ISBT Bridge,28.6692730781321,77.2282183217881
50,U02946,Metro Train Depot,28.673867,77.241633
51,DC3576,Metro Train Depot,28.674383,77.243117
52,U03019,Shyam Giri Mandir,28.6741,77.24775
53,DC3577,Shastri Park,28.673083,77.25405
54,U03126,Shastri Park,28.6726,77.2571
55,U03184,Dharampura,28.67085,77.262183
56,U03193,Seelampur Metro Station,28.670783,77.265423
57,U03268,Seelam Pur Petrol Pump,28.672117,77.273467
58,U03300,Welcome Metro Station,28.672783,77.27715
59,U03350,Shahdara (Shyam Lal College),28.6736,77.283533
60,U03509,Mansarovar Park Metro Station,28.6759,77.2999
61,U03614,Telephone Exchange,28.676067,77.30925
62,U03636,Jhilmil Crossing / Dilshad Garden GT Road,28.67615,77.311883
63,U03746,Shahdra Border,28.6758,77.3231
64,U99883A,Surya Nagar,28.6668,77.3217
65,U03715,Ram Prastha Temple,28.6631,77.3205
66,U03712,Ram Prastha Crossing,28.6608,77.3202
67,DC3612,Anand Vihar ISBT Main Road,28.64696,77.317879
68,U03679,Anand Vihar ISBT Terminal,28.64671,77.314618
69,DC3531,Kair Depot,28.618288,76.930672
70,DC4030,Mitraon Village (Dhansa Road),28.6082685799431,76.9447822575366
71,U00079,Mitraon School,28.6069,76.9394
72,U00067,Surehra Crossing,28.60418,76.932332
73,U00051,Rawta Crossing,28.600134,76.915856
74,DC4018,Jaffarpur RTRM Hospital,28.595235,76.915487
75,DC4008,Samaspur Khalsa,28.578317,76.909933
76,U00143,Tikri Border Metro Station,28.688172,76.964459
77,U00165,Tikari Village,28.6875,76.9708
78,U00194,Tikri Hospital,28.6869,76.9783
79,U00211,Tikri Piyau / Azad Hind Gram,28.686817,76.979933
80,DC3758,Indian Oil Corporation,28.686267,76.986533
81,U00282,Ghevra Crossing (Kanjhawala Road),28.685717,76.994533
82,U00271,FCI Ghevra,28.6927,76.9938
83,U00290,Ghevra Village,28.696286,76.997661
84,U00302,Sir Chhotu Ram Polytechnic,28.707177,77.001084
85,U00317,Kanjhawala Haryana Shakti C-School,28.713983,77.003267
86,U00322,Desu Sub Station,28.7232166666667,77.0044833333333
87,U00312,Kanjhawala Depot (Narela Road),28.727519,77.002541
88,U00327,Kanjhawala Village,28.734185,77.0049
89,DC5154,Kanjhawla Chowk,28.738005,77.007551
90,DC4516,SDM Court Kanjhawala,28.74049,77.009481
91,DC4517,Chandpur Crossing,28.751281,77.014305
92,DC5155,Chand Pur Village,28.75137,77.00975
93,DC5158,Chand Pur Village,28.75329,77.00775
94,DC5159,Chand Pur Majra School,28.75895,76.99894
